ZBIORNIKI BUFOROWE;;;;;;;;;;;;
LP.;PRODUCENT;MODEL;NAZWA; CENA KATALOGOWA ;RABAT; CENA ZAKUPU ;MATERIAŁ;POJEMNOŚĆ;WYSOKOŚĆ;ŚREDNICA;KLASA ErP;
1.;Panasonic / OSO;PAW-BTANK50L-2;Nierdzewny 50l; 1 874.00 zł ;47%; 993.22 zł ;INOX;50;636;430;B;
2.;Panasonic / OSO;PAW-BTANK100L;Nierdzewny 100l; 2 928.00 zł ;47%; 1 551.84 zł ;INOX;100;1175;430;C;
5.;Weber;W4B 80;Standard 80l wiszący; 970.00 zł ;18%; 795.40 zł ;STAL;80;747;440;B;
6.;Weber;W4 100;Standard 100l stojący; 1 130.00 zł ;18%; 926.60 zł ;STAL;100;906;471;B;
7.;Weber;W4 200;Standard 200l stojący; 1 670.00 zł ;18%; 1 369.40 zł ;STAL;200;1306;607;B;
8.;Weber;W4 300;Standard 300l stojący; 2 255.00 zł ;18%; 1 849.10 zł ;STAL;300;1462;657;B;
;;;;;;;;;;;;
